Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
4_PrFP_future.txt,1,398,11.48,1,92.05,6.95,17.3,16.33,95.23,76.88,66.08,18.59,8.79,8.29,0.25,0,0,0.25,9.8,16.33,7.04,0.75,11.31,13.32,8.29,6.28,4.27,21.61,4.27,2.51,2.26,1.01,0.75,0.5,16.08,1.01,14.82,4.02,2.01,1.51,3.77,0.75,4.52,0,4.27,1.26,2.76,0.75,0.25,0.25,0.25,0,0,0,5.53,2.51,0,0,0.5,0,1.26,1.76,1.26,0,0.25,0,1.76,1.51,0,0.25,1.76,0,0,1.76,0.25,0,4.77,4.52,4.52,0,0,0,0,0,0,1.01,0.75,0.75,0,0.5,0,0.25,0.75,0.25,8.79,7.29,0.5,1.51,4.77,0.5,0.75,0.5,4.27,2.01,8.54,3.27,0.25,0,0.25,0,0,19.35,4.77,0.25,1.76,0,2.51,10.05
4_PrFP_past.txt,1,165,28.02,1,97,8.8,12.69,15.15,93.94,73.94,61.82,16.36,10.3,9.7,0,0,0,0.61,6.06,15.15,7.27,0,13.94,10.3,9.09,7.27,2.42,21.21,2.42,2.42,3.03,0.61,2.42,0,15.76,1.21,13.94,3.03,0.61,3.64,1.82,0.61,5.45,1.21,2.42,0.61,1.82,0.61,0,0.61,0,0,0.61,0,7.27,1.82,0.61,0,0,0,0,2.42,1.21,0,0,0,0.61,0,0,0.61,6.06,1.82,0,2.42,1.82,0,1.82,1.21,1.21,0,0,0,0,0.61,0,0.61,0.61,0,1.82,0,0,0,0,0,9.7,8.48,0,2.42,6.06,0.61,0,0.61,5.45,7.88,3.64,0.61,0,0,0,0,0,16.97,7.27,2.42,0.61,0,1.21,5.45
4_PrFP_present.txt,1,344,27.57,1.87,92.77,7.27,17.2,20.93,93.02,75,63.08,10.76,6.69,5.81,0,0.29,0,0.58,4.07,17.73,7.27,1.45,12.21,12.5,9.88,7.27,3.49,20.64,5.52,8.14,4.07,1.74,1.45,0.87,18.9,2.33,15.7,3.2,1.74,0.87,2.91,1.74,6.1,0.29,4.94,1.45,2.91,1.16,0.29,0.58,0,0,0,0.29,4.65,0.29,0,0,0,0,0.29,3.2,0.87,0.29,0.29,0,0.87,0.58,0,0.29,3.78,0,0.58,2.62,0.58,0,5.52,3.78,3.78,0,0,0,0,1.16,0.29,1.16,0,1.45,0.29,0,0,0,0.29,0,7.56,7.27,0,0.58,6.69,0,0,0.29,4.65,6.98,4.07,0.87,0.29,0,0.29,0,0,18.02,6.1,2.62,0,0.29,0,9.01
6_PFPr_future.txt,1,547,16.45,1,84.73,66.33,24.86,14.44,87.2,69.1,55.76,17.37,12.98,10.42,1.1,0.18,0.37,0.18,4.39,14.08,3.84,0.37,10.05,8.23,8.23,7.31,2.19,13.71,6.95,4.75,4.39,4.2,0.18,0,12.25,1.65,10.6,2.38,0.73,1.28,3.84,1.28,3.84,0,10.97,4.39,1.46,1.46,1.1,0.18,0,0,0,5.85,9.69,1.65,0.18,0,0,0,1.1,6.4,0.91,1.83,0.18,0.73,0.37,0,0,0.37,3.84,1.65,0,1.83,0,0.37,2.93,1.46,0.73,0,0,0,0.18,0,0.55,0,0.37,0.73,0,0,0,0,0,0.73,12.43,5.85,0,0.55,4.39,0.18,0,0.91,3.84,2.19,9.14,0.55,4.75,4.75,0,0,0,7.86,3.11,2.01,2.19,0,0,0.55
6_PFPr_past.txt,1,393,11.62,1.3,89.18,96.27,24.56,11.96,88.55,71.5,58.27,12.72,8.65,7.38,1.27,0,0,0,4.07,10.43,3.56,0.76,10.69,11.2,7.63,12.47,2.54,18.07,6.36,3.82,5.85,4.07,1.53,0.25,14.5,2.29,12.21,1.02,1.02,1.53,2.54,2.29,6.36,0,10.18,6.62,0.51,2.54,2.54,0,0,0,0,3.31,7.63,1.02,0.51,0,0,0,0.25,5.09,0.51,1.78,0.51,0.51,0.25,0,0,0.25,6.11,2.54,0.25,2.29,0.25,0.76,1.02,0.76,0.25,0.25,0,0,0,0,0,0,0.51,1.02,0,0,0,0,0,0,10.94,7.38,0.25,2.29,4.58,1.53,0,0,4.83,9.92,1.02,2.04,4.58,4.58,0.51,0,0,7.89,3.82,2.8,0.25,0,0.51,0.51
6_PFPr_present.txt,1,370,17.44,1,45.99,11.88,26.43,9.73,85.14,69.46,54.05,17.03,11.89,8.92,0,2.97,0,0,5.14,13.24,5.14,0.27,8.65,7.84,7.3,8.65,1.89,14.59,7.3,4.05,1.35,0.54,0,0.81,11.35,2.16,9.19,0.54,0.81,1.89,1.89,0.27,4.05,0,12.16,2.16,2.97,2.16,0.27,1.89,0.27,0,0.54,7.84,8.38,2.16,0.27,0,0,0,1.62,4.05,0,0.27,0.27,0,0.27,0,0,0.27,2.43,0.81,0,0,0.81,0.81,3.51,1.62,0.27,0,1.08,0,1.08,0,0,0.27,0.54,1.08,0,0.27,0.27,0,0,1.08,10.81,3.51,0,0.81,2.97,0,0,0,2.16,1.62,5.14,1.08,7.57,7.57,0.27,0,0,10.27,2.97,2.16,3.78,0,0,1.35
7_PFPr_future.txt,1,97,4.34,3.59,99,20.23,16.17,9.28,100,89.69,67.01,19.59,6.19,4.12,2.06,0,0,0,13.4,16.49,5.15,0,10.31,10.31,10.31,10.31,4.12,21.65,12.37,4.12,2.06,2.06,0,0,23.71,3.09,20.62,6.19,1.03,1.03,7.22,0,6.19,0,8.25,4.12,4.12,4.12,1.03,3.09,0,0,1.03,0,3.09,1.03,0,0,0,0,0,2.06,0,0,0,0,2.06,2.06,0,0,0,0,0,0,0,0,2.06,1.03,1.03,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,7.22,8.25,0,1.03,8.25,0,0,0,8.25,2.06,9.28,3.09,1.03,1.03,0,0,0,24.74,5.15,0,0,0,2.06,17.53
7_PFPr_past.txt,1,111,15.89,1.14,99,20.23,13.88,9.91,100,84.68,64.86,14.41,7.21,6.31,0.9,0,0,0,7.21,10.81,2.7,0,15.32,8.11,12.61,9.91,2.7,18.02,13.51,4.5,4.5,1.8,2.7,0,18.92,0,18.92,4.5,3.6,0,3.6,0,8.11,0,4.5,1.8,1.8,2.7,0,1.8,1.8,0,0,0,6.31,1.8,0,0,0,0,1.8,2.7,0,0.9,0,0,0,0,0,0,3.6,0.9,0.9,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,8.11,0,1.8,8.11,0,0,0,3.6,4.5,5.41,0,0,0,0,0,0,8.11,6.31,0,0,0,0,1.8
7_PFPr_present.txt,1,104,19.54,1,94.47,20.23,26,14.42,100,83.65,66.35,20.19,12.5,10.58,0,0,0,0.96,7.69,19.23,5.77,0,14.42,5.77,9.62,8.65,3.85,17.31,8.65,3.85,1.92,0,1.92,0,20.19,5.77,14.42,3.85,0,0.96,0.96,2.88,4.81,0.96,5.77,2.88,2.88,1.92,0,1.92,0.96,0,0,0,6.73,1.92,0,0,0.96,0,0.96,2.88,0,0,0,0,0,0,0,0,2.88,0,0.96,1.92,0,0,0.96,0.96,0.96,0,0,0,0,0,0,1.92,0.96,1.92,0,0,0,0.96,0,0,9.62,9.62,0,0,6.73,0.96,0,1.92,1.92,5.77,1.92,3.85,0,0,0,0,0,9.62,3.85,0,0,0,0,5.77
12_PFPr_future.txt,1,144,3.64,1,98.75,1.01,24,17.36,90.28,79.17,64.58,15.97,13.89,11.81,0,0,0,2.08,2.08,8.33,4.17,0,11.81,9.03,12.5,15.28,3.47,18.06,6.94,4.17,0,0,0,0,16.67,3.47,13.19,2.08,0,2.08,4.17,0.69,4.17,0,4.86,0.69,4.17,2.78,0,2.78,1.39,0,0,0,3.47,0,0,0,0,0,0,3.47,0,0,0,0,1.39,0,0,1.39,4.17,2.08,0,2.08,0,0,7.64,4.17,2.78,0,0,0,0,2.78,0,0,0,2.08,0,0,0,0,0,0,8.33,9.03,0,0.69,5.56,0.69,0,2.08,8.33,1.39,7.64,0.69,0,0,0,0,0,8.33,4.17,2.78,0,0,0,1.39
